2024-Apr-08	T	13:04:51	53	14:18:15	14:20:08	46	226	14:22:01	15:32:05	35	1.052	1.000	3m45s
2025-Mar-29	P	06:05(r)	0(r)	-	06:05(r)	0(r)	085	-	06:09:03	00	0.064(r)	0.019(r)	-
2026-Aug-12	P	11:58:49	62	-	12:42:12	62	191	-	13:24:32	59	0.158	0.075	-
2028-Jan-26	P	09:20:51	15	-	09:53:06	19	141	-	10:26:22	22	0.049	0.013	-
2029-Jan-14	P	11:14:32	24	-	12:42:48	26	185	-	14:07:50	22	0.604	0.501	-
2031-Nov-14	P	16:46:17	00	-	16:49(s)	0(s)	245	-	16:49(s)	0(s)	0.024(s)	0.004(s)	-
2033-Mar-30	P	12:59:54	50	-	13:39:32	47	210	-	14:18:31	43	0.139	0.061	-
2038-Jan-05	P	07:49(r)	0(r)	-	07:49(r)	0(r)	121	-	08:24:08	05	0.34(r)	0.223(r)	-
2038-Jul-02	P	07:01:36	23	-	07:21:51	27	082	-	07:42:32	30	0.046	0.012	-
2039-Jun-21	P	11:18:33	67	-	12:07:30	70	173	-	12:57:19	69	0.103	0.038	-
2040-Nov-04	P	12:55:56	30	-	14:15:44	24	216	-	15:30:52	14	0.655	0.567	-
2045-Aug-12	P	11:06:59	58	-	12:16:03	62	178	-	13:24:10	59	0.615	0.534	-
2048-Jun-11	P	05:22:49	07	-	06:26:50	18	074	-	07:38:18	30	0.858	0.797	-
2050-Nov-14	P	07:09(r)	0(r)	-	07:09(r)	0(r)	115	-	07:44:46	05	0.165(r)	0.077(r)	-
2052-Mar-30	P	13:16:36	49	-	14:31:14	42	226	-	15:41:09	31	0.719	0.655	-
2055-Jan-27	P	12:00:18	28	-	13:24:04	27	195	-	14:43:29	21	0.402	0.28	-
2057-Jul-01	P	18:59:33	09	-	19:54(s)	0(s)	303	-	19:54(s)	0(s)	0.886(s)	0.83(s)	-
2066-Jun-22	P	14:04:27	61	-	15:27:10	47	259	-	16:39:46	33	0.531	0.418	-
2067-Dec-06	P	07:35(r)	0(r)	-	07:40:32	01	122	-	08:21:46	07	0.187	0.094	-
2071-Sep-23	P	10:41:26	43	-	11:41:47	46	171	-	12:43:14	46	0.326	0.214	-
2077-Nov-15	P	09:43:33	21	-	11:03:08	27	165	-	12:29:15	28	0.468	0.349	-
2078-May-11	P	12:21:55	65	-	13:37:12	59	223	-	14:50:24	48	0.789	0.748	-
2079-May-01	P	05:12(r)	0(r)	-	05:12(r)	0(r)	069	-	06:00:52	08	0.951(r)	0.947(r)	-
2082-Feb-27	P	09:23:25	24	-	09:44:41	27	133	-	10:06:08	30	0.024	0.004	-
2083-Feb-16	P	13:05:37	34	-	14:00:49	31	206	-	14:53:58	26	0.222	0.12	-
2090-Sep-23	P	10:20:25	40	-	11:22:39	45	164	-	12:26:01	46	0.423	0.313	-
2092-Feb-07	P	08:42:03	12	-	09:29:20	19	134	-	10:19:49	25	0.184	0.092	-
2093-Jul-23	A	05:01(r)	0(r)	05:51:35	05:53:41	08	071	05:55:47	07:01:36	20	0.936	0.877	4m11s
2094-Dec-07	P	14:36:37	16	-	15:48:08	07	230	-	16:37(s)	0(s)	0.514	0.403	-
2099-Sep-14	P	09:50:07	39	-	11:02:01	47	154	-	12:15:50	50	0.914	0.905	-
2100-Mar-10	P	18:12:21	00	-	18:13(s)	0(s)	265	-	18:13(s)	0(s)	0.01(s)	0.001(s)	-
2104-Dec-17	P	07:44(r)	0(r)	-	07:44(r)	0(r)	122	-	08:47:47	09	0.532(r)	0.417(r)	-
2106-May-03	P	12:38:02	62	-	13:59:51	54	228	-	15:16:52	42	0.884	0.864	-
2109-Mar-01	P	12:32:47	40	-	13:13:44	39	195	-	13:54:08	36	0.086	0.029	-
2111-Aug-04	P	12:52:13	64	-	14:31:48	52	237	-	15:59:59	37	0.901	0.851	-
2121-Jul-14	P	09:26:05	48	-	10:57:15	62	134	-	12:33:00	69	0.838	0.787	-
2131-Dec-19	P	10:08:55	18	-	11:27:45	23	169	-	12:51:43	23	0.338	0.218	-
2132-Jun-13	P	10:44:39	63	-	11:38:43	69	156	-	12:34:07	70	0.307	0.198	-
2133-Jun-03	P	04:42(r)	0(r)	-	04:42(r)	0(r)	058	-	04:42:29	00	0.006(r)	0.001(r)	-
2137-Mar-21	P	13:38:45	44	-	14:07:23	42	216	-	14:35:47	38	0.057	0.016	-
2138-Aug-05	P	15:55:09	38	-	16:59:05	26	269	-	17:57:34	16	0.469	0.351	-
2144-Oct-26	T	10:50:57	32	12:08:07	12:10:05	34	183	12:12:03	13:29:41	31	1.051	1.000	3m55s
2146-Mar-12	P	09:38:33	31	-	10:49:35	39	149	-	12:04:13	44	0.47	0.357	-
2151-Jun-14	P	11:02:17	65	-	12:07:54	70	174	-	13:14:49	67	0.4	0.289	-
2153-Oct-17	P	10:02:01	31	-	11:13:33	37	165	-	12:27:49	37	0.818	0.781	-
2154-Apr-12	P	16:09:47	29	-	17:26:29	15	268	-	18:35:24	03	0.863	0.803	-
2159-Jan-19	P	07:44(r)	0(r)	-	08:36:39	08	127	-	10:06:46	19	0.835	0.764	-
2160-Jun-04	P	10:32:11	61	-	11:40:49	69	159	-	12:51:13	68	0.418	0.307	-
2165-Sep-05	P	06:57:48	12	-	08:11:54	26	106	-	09:35:43	40	0.684	0.59	-
2169-Jun-24	P	19:51:42	00	-	19:55(s)	0(s)	303	-	19:55(s)	0(s)	0.064(s)	0.02(s)	-
2175-Aug-16	P	05:26(r)	0(r)	-	06:13:00	08	079	-	07:18:22	20	0.705	0.624	-
2176-Feb-10	P	12:29:30	33	-	13:20:22	32	195	-	14:09:10	28	0.184	0.092	-
2178-Jun-15	P	19:26:34	04	-	19:52(s)	0(s)	303	-	19:52(s)	0(s)	0.521(s)	0.417(s)	-
2184-Sep-04	P	17:58:47	07	-	18:40(s)	0(s)	279	-	18:40(s)	0(s)	0.64(s)	0.542(s)	-
2185-Jan-31	P	07:33(r)	0(r)	-	08:20:13	07	122	-	09:22:42	16	0.373	0.254	-
2186-Jan-20	P	11:06:22	25	-	12:36:10	27	183	-	14:03:18	23	0.396	0.273	-
2188-Nov-18	P	11:41:42	27	-	12:35:26	27	189	-	13:29:05	24	0.273	0.165	-
2191-Apr-23	P	11:43:41	59	-	12:43:09	59	194	-	13:43:23	54	0.274	0.165	-
2193-Aug-26	P	14:07:05	49	-	15:20:28	38	244	-	16:28:06	27	0.562	0.457	-
2197-Jun-15	P	11:43:34	69	-	13:04:23	68	211	-	14:21:46	58	0.47	0.356	-
2198-Nov-28	P	13:35:35	22	-	14:50:44	15	220	-	15:59:28	06	0.796	0.751	-
2200-Apr-14	P	09:07:07	37	-	10:24:20	49	136	-	11:47:43	56	0.917	0.899	-
2205-Jul-17	P	07:59:25	32	-	09:08:35	44	103	-	10:24:59	57	0.972	0.974	-
2207-Nov-20	P	12:04:58	28	-	13:13:05	25	199	-	14:20:00	20	0.454	0.344	-
2208-May-15	P	12:15:17	66	-	13:34:00	61	222	-	14:50:12	49	0.425	0.307	-
2212-Aug-27	P	06:35:37	10	-	07:10:51	17	092	-	07:47:40	23	0.188	0.096	-
2213-Feb-21	P	07:39:16	05	-	09:00:50	19	125	-	10:31:30	30	0.902	0.838	-
2218-Apr-25	P	19:01:09	01	-	19:05(s)	0(s)	289	-	19:05(s)	0(s)	0.086(s)	0.03(s)	-
2220-Sep-27	P	06:11(r)	0(r)	-	06:45:39	06	098	-	07:39:37	16	0.335	0.218	-
2223-Jul-28	P	17:53:11	18	-	18:32:06	11	286	-	19:09:11	05	0.279	0.171	-
2230-Mar-15	P	12:53:35	45	-	14:07:09	39	214	-	15:16:51	31	0.509	0.398	-
2232-Jul-18	P	16:59:34	29	-	17:55:23	19	281	-	18:47:20	10	0.659	0.579	-
2238-Oct-08	P	15:28:23	23	-	16:44:30	10	252	-	17:42(s)	0(s)	0.76	0.685	-
2239-Mar-06	P	08:12:15	15	-	09:06:34	24	124	-	10:04:59	32	0.278	0.166	-
